update_id,op_type,edge_u,edge_v,old_w,new_w,dist_from_source,affected_nodes,affected_edges,delta_size,time_us,normalized_time,dijkstra_match
100,INS,3891296,2964963,0,100,17364230,0,0,0,21,0,1
101,W+,5615555,5615554,440,880,17573105,0,0,0,7,0,1
102,W-,4271471,4271463,6588,3294,17791694,1899,8740,10639,616,0.00432831,1
103,DEL,3419539,3419540,16076,0,18030564,0,0,0,4,0,1
104,INS,3872654,3873007,0,100,18252048,0,0,0,4,0,1
105,W+,4816184,3938119,1363,2726,18452569,2,4,6,5,0.322377,1
106,W-,3956060,3003830,2468,1234,18609473,3,14,17,8,0.11513,1
107,DEL,3955043,4829482,1042,0,18780130,0,0,0,6,0,1
108,INS,5970587,5970587,0,100,18921458,0,0,0,21,0,1
109,W+,3840213,2934516,307,614,19094181,0,0,0,3,0,1
110,W-,3827128,2926723,778,389,19245665,89,430,519,62,0.0132446,1
111,DEL,3823900,3823899,1597,0,19385994,0,0,0,4,0,1
112,INS,4847620,3978154,0,100,19504048,12,69,81,29,0.0564721,1
113,W+,5110763,5644242,2457,4914,19700668,4,16,20,3,0.0347067,1
114,W-,2996454,4820828,844,422,19991709,0,0,0,3,0,1
115,DEL,5752355,5752358,1877,0,20365205,8,30,38,34,0.170493,1
116,INS,5907635,5909993,0,100,20622481,3,11,14,4,0.0750427,1
117,W+,5775198,5775196,1111,2222,20743340,138,876,1014,56,0.00553051,1
118,W-,5956077,5956078,596,298,20856351,1,2,3,4,0.84124,1
119,DEL,5870963,5869518,13257,0,21100689,176,838,1014,134,0.0132337,1
120,INS,5841935,5841935,0,100,21650920,0,0,0,2,0,1
